"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,31,0,0,0,0
4,32,0,0,0,0
5,31,0,0,0,0
5,32,0,0,0,0
6,31,0,0,0,0
6,32,0,0,0,0
7,31,0,0,0,0
7,32,0,0,0,0
8,31,0,0,0,0
8,32,0,0,0,0
9,31,0.333333333333333,0.333333333333333,2,2
9,32,0,0,0,0
10,31,0.285714285714286,0,3,0
10,32,0,0.142857142857143,0,1
16,31,0.0769230769230769,0,1,0
16,32,0.230769230769231,0.230769230769231,5,5
32,31,0.206896551724138,0.0689655172413793,11,3
32,32,0.0344827586206897,0,1,0
64,31,0.0491803278688525,0.0819672131147541,3,6
64,32,0.0163934426229508,0.0163934426229508,1,1
128,31,0.248,0.08,86,14
128,32,0.112,0.064,22,11
256,31,0.209486166007905,0.110671936758893,196,44
256,32,0.185770750988142,0.0592885375494071,79,18
512,31,0.229862475442043,0.139489194499018,404,317
512,32,0.151277013752456,0.0864440078585462,123,63
1024,31,0.139079333986288,0.0607247796278159,413,166
1024,32,0.159647404505387,0.069539666993144,536,117
2048,31,0.183863080684597,0.112469437652812,1103,635
2048,32,0.159413202933985,0.100244498777506,901,563
