"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,41,0,0,0,0
4,42,0,0,0,0
5,41,0,0,0,0
5,42,1,0.5,3,1
6,41,0.333333333333333,0.333333333333333,1,1
6,42,0,0,0,0
7,41,0,0,0,0
7,42,0,0,0,0
8,41,0,0,0,0
8,42,0,0,0,0
9,41,0,0,0,0
9,42,0,0,0,0
10,41,0.285714285714286,0.142857142857143,3,1
10,42,0.142857142857143,0,1,0
16,41,0.0769230769230769,0.0769230769230769,1,1
16,42,0.153846153846154,0.153846153846154,3,3
32,41,0.0689655172413793,0,3,0
32,42,0.103448275862069,0.0689655172413793,4,3
64,41,0.19672131147541,0.0163934426229508,24,1
64,42,0.213114754098361,0.147540983606557,23,15
128,41,0.16,0.096,34,19
128,42,0.2,0.12,71,22
256,41,0.209486166007905,0.0790513833992095,138,25
256,42,0.126482213438735,0.075098814229249,47,25
512,41,0.131630648330059,0.0844793713163065,196,58
512,42,0.222003929273084,0.0943025540275049,321,104
1024,41,0.173359451518119,0.0930460333006856,641,241
1024,42,0.158667972575906,0.0832517140058766,339,150
2048,41,0.164303178484108,0.093398533007335,855,332
2048,42,0.165770171149144,0.108068459657702,916,542
