"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,1,0,0,0,0
4,2,0,0,0,0
5,1,0,0,0,0
5,2,0,0,0,0
6,1,0,0,0,0
6,2,0,0,0,0
7,1,0,0,0,0
7,2,0.5,0,3,0
8,1,0,0,0,0
8,2,0,0,0,0
9,1,0,0,0,0
9,2,0,0,0,0
10,1,0.142857142857143,0.142857142857143,1,1
10,2,0,0,0,0
16,1,0,0,0,0
16,2,0,0,0,0
32,1,0.137931034482759,0.0344827586206897,6,1
32,2,0.137931034482759,0.172413793103448,5,6
64,1,0.229508196721311,0.114754098360656,28,10
64,2,0.245901639344262,0.180327868852459,23,18
128,1,0.12,0.128,20,26
128,2,0.176,0.064,69,10
256,1,0.118577075098814,0.0355731225296443,91,10
256,2,0.233201581027668,0.142292490118577,223,98
512,1,0.108055009823183,0.0550098231827112,82,34
512,2,0.153241650294695,0.0923379174852652,264,70
1024,1,0.157688540646425,0.0822722820763957,555,115
1024,2,0.165523996082272,0.0959843290891283,413,190
2048,1,0.149144254278729,0.0968215158924205,848,415
2048,2,0.167237163814181,0.087041564792176,719,327
