"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,67,0,0,0,0
4,68,0,0,0,0
5,67,0,0,0,0
5,68,0,0,0,0
6,67,0,0,0,0
6,68,0,0,0,0
7,67,0.25,0,1,0
7,68,0,0,0,0
8,67,0,0,0,0
8,68,0.2,0.2,1,1
9,67,0,0,0,0
9,68,0.166666666666667,0.166666666666667,1,1
10,67,0,0,0,0
10,68,0,0,0,0
16,67,0.0769230769230769,0.0769230769230769,1,1
16,68,0.0769230769230769,0.0769230769230769,1,1
32,67,0,0,0,0
32,68,0.103448275862069,0.103448275862069,3,3
64,67,0.147540983606557,0.19672131147541,16,23
64,68,0.0983606557377049,0.0327868852459016,9,2
128,67,0.208,0.104,81,15
128,68,0.072,0.056,9,7
256,67,0.122529644268775,0.08300395256917,74,26
256,68,0.110671936758893,0.0513833992094862,76,17
512,67,0.0923379174852652,0.0746561886051081,74,55
512,68,0.153241650294695,0.0923379174852652,151,62
1024,67,0.18511263467189,0.106758080313418,733,240
1024,68,0.133202742409403,0.0675808031341822,333,133
2048,67,0.18239608801956,0.0992665036674817,1121,399
2048,68,0.154034229828851,0.0899755501222494,915,348
