"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,3,0,0,0,0
4,4,0,0,0,0
5,3,0,0,0,0
5,4,0,0,0,0
6,3,1,0,5,0
6,4,0,0,0,0
7,3,0.25,0,1,0
7,4,0,0,0,0
8,3,0,0,0,0
8,4,0,0,0,0
9,3,0.166666666666667,0,1,0
9,4,0,0,0,0
10,3,0,0,0,0
10,4,0.142857142857143,0,1,0
16,3,0.0769230769230769,0,1,0
16,4,0.153846153846154,0,2,0
32,3,0.172413793103448,0.0344827586206897,8,1
32,4,0.172413793103448,0.0344827586206897,8,1
64,3,0.295081967213115,0.0655737704918033,38,4
64,4,0.311475409836066,0.0983606557377049,34,6
128,3,0.088,0.064,16,10
128,4,0.184,0.128,45,24
256,3,0.118577075098814,0.0632411067193676,46,25
256,4,0.142292490118577,0.075098814229249,97,27
512,3,0.0982318271119843,0.0746561886051081,71,48
512,4,0.151277013752456,0.0903732809430255,193,72
1024,3,0.142997061704212,0.0999020568070519,388,271
1024,4,0.169441723800196,0.104799216454456,525,261
2048,3,0.135941320293399,0.0762836185819071,682,211
2048,4,0.142298288508557,0.100733496332518,755,367
