"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,7,0,0,0,0
4,8,1,1,1,1
5,7,0,0,0,0
5,8,0,0,0,0
6,7,0.333333333333333,0,1,0
6,8,0.333333333333333,0.333333333333333,1,1
7,7,0,0,0,0
7,8,0.75,0,5,0
8,7,0,0,0,0
8,8,0,0,0,0
9,7,0,0,0,0
9,8,0.166666666666667,0.166666666666667,1,1
10,7,0,0,0,0
10,8,0.428571428571429,0.428571428571429,5,5
16,7,0.307692307692308,0.0769230769230769,7,1
16,8,0.230769230769231,0,4,0
32,7,0,0,0,0
32,8,0.0689655172413793,0.103448275862069,3,4
64,7,0.19672131147541,0.163934426229508,18,15
64,8,0.229508196721311,0.0655737704918033,25,4
128,7,0.112,0.072,23,10
128,8,0.272,0.152,99,70
256,7,0.130434782608696,0.0790513833992095,49,26
256,8,0.154150197628458,0.106719367588933,58,31
512,7,0.131630648330059,0.0805500982318271,139,61
512,8,0.119842829076621,0.0726915520628684,93,52
1024,7,0.143976493633692,0.0822722820763957,309,225
1024,8,0.140058765915769,0.0940254652301665,441,262
2048,7,0.132029339853301,0.0669926650366748,625,191
2048,8,0.165281173594132,0.0777506112469438,1034,307
