"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,61,0,0,0,0
4,62,0,0,0,0
5,61,0,0,0,0
5,62,0,0,0,0
6,61,0,0,0,0
6,62,0.333333333333333,0,1,0
7,61,0,0,0,0
7,62,0.75,0.25,5,1
8,61,0,0,0,0
8,62,0,0,0,0
9,61,0,0,0,0
9,62,0,0,0,0
10,61,0.142857142857143,0.142857142857143,1,1
10,62,0.142857142857143,0.142857142857143,1,1
16,61,0.153846153846154,0.153846153846154,2,2
16,62,0.153846153846154,0.0769230769230769,2,1
32,61,0.0689655172413793,0,2,0
32,62,0.137931034482759,0.103448275862069,5,3
64,61,0.19672131147541,0.0655737704918033,25,4
64,62,0.0655737704918033,0.0983606557377049,5,9
128,61,0.184,0.048,42,7
128,62,0.056,0.048,7,6
256,61,0.126482213438735,0.0948616600790514,41,36
256,62,0.126482213438735,0.0790513833992095,82,32
512,61,0.149312377210216,0.0726915520628684,157,45
512,62,0.153241650294695,0.0903732809430255,158,73
1024,61,0.146914789422135,0.0734573947110676,326,107
1024,62,0.16356513222331,0.0705190989226249,493,159
2048,61,0.163325183374083,0.093398533007335,868,405
2048,62,0.179951100244499,0.0973105134474328,1220,522
