"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,51,1,1,1,1
4,52,0,0,0,0
5,51,0,0,0,0
5,52,0,0,0,0
6,51,0,0,0,0
6,52,0,0,0,0
7,51,0,0,0,0
7,52,0,0.25,0,1
8,51,0.2,0,1,0
8,52,0,0,0,0
9,51,0,0,0,0
9,52,0,0,0,0
10,51,0.285714285714286,0.142857142857143,3,1
10,52,0,0,0,0
16,51,0.153846153846154,0.0769230769230769,2,1
16,52,0.153846153846154,0.153846153846154,3,3
32,51,0.344827586206897,0.103448275862069,20,3
32,52,0.137931034482759,0.241379310344828,7,13
64,51,0.0163934426229508,0.147540983606557,1,15
64,52,0.131147540983607,0.0819672131147541,12,7
128,51,0.184,0.032,78,4
128,52,0.184,0.112,71,19
256,51,0.106719367588933,0.0434782608695652,85,15
256,52,0.146245059288538,0.102766798418972,57,42
512,51,0.143418467583497,0.0923379174852652,199,71
512,52,0.147347740667976,0.0766208251473477,151,57
1024,51,0.154750244857982,0.0822722820763957,491,148
1024,52,0.143976493633692,0.103819784524976,474,250
2048,51,0.15158924205379,0.0713936430317848,793,194
2048,52,0.156479217603912,0.100244498777506,907,515
