"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,27,0,0,0,0
4,28,0,0,0,0
5,27,0,0,0,0
5,28,0,0,0,0
6,27,0,0,0,0
6,28,0,0,0,0
7,27,0,0,0,0
7,28,0,0,0,0
8,27,0,0,0,0
8,28,0,0,0,0
9,27,0,0,0,0
9,28,0,0,0,0
10,27,0,0,0,0
10,28,0,0.285714285714286,0,3
16,27,0.0769230769230769,0.0769230769230769,1,1
16,28,0,0,0,0
32,27,0.137931034482759,0.103448275862069,5,3
32,28,0.310344827586207,0.0344827586206897,19,1
64,27,0.0655737704918033,0.0819672131147541,6,7
64,28,0.0491803278688525,0.0655737704918033,3,5
128,27,0.128,0.112,25,22
128,28,0.176,0.072,35,11
256,27,0.118577075098814,0.0632411067193676,44,16
256,28,0.150197628458498,0.0592885375494071,57,17
512,27,0.18664047151277,0.0766208251473477,174,49
512,28,0.151277013752456,0.0726915520628684,212,51
1024,27,0.147894221351616,0.0930460333006856,375,208
1024,28,0.121449559255632,0.0685602350636631,252,87
2048,27,0.150122249388753,0.0919315403422983,778,324
2048,28,0.171149144254279,0.0973105134474328,909,398
