"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,19,0,0,0,0
4,20,0,0,0,0
5,19,0,0,0,0
5,20,0,0,0,0
6,19,0,0,0,0
6,20,0,0,0,0
7,19,0,0,0,0
7,20,0,0,0,0
8,19,0,0,0,0
8,20,0,0,0,0
9,19,0,0,0,0
9,20,0,0,0,0
10,19,0.285714285714286,0,3,0
10,20,0.142857142857143,0.142857142857143,1,1
16,19,0,0,0,0
16,20,0,0,0,0
32,19,0.103448275862069,0.0689655172413793,4,2
32,20,0,0,0,0
64,19,0.114754098360656,0.114754098360656,9,8
64,20,0.114754098360656,0.0819672131147541,7,5
128,19,0.136,0.056,28,8
128,20,0.24,0.072,54,10
256,19,0.213438735177866,0.0790513833992095,132,27
256,20,0.118577075098814,0.0513833992094862,51,15
512,19,0.135559921414538,0.0589390962671906,111,42
512,20,0.12573673870334,0.0667976424361493,172,45
1024,19,0.157688540646425,0.102840352595495,391,191
1024,20,0.203721841332027,0.0842311459353575,687,121
2048,19,0.161369193154034,0.0953545232273839,945,408
2048,20,0.150122249388753,0.0753056234718826,763,324
