"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,47,0,0,0,0
4,48,0,0,0,0
5,47,0,0,0,0
5,48,0,0,0,0
6,47,0,0,0,0
6,48,0,0,0,0
7,47,0,0.25,0,1
7,48,0.5,0.5,3,3
8,47,0,0,0,0
8,48,0,0,0,0
9,47,0,0,0,0
9,48,0,0,0,0
10,47,0.142857142857143,0,1,0
10,48,0,0,0,0
16,47,0,0,0,0
16,48,0,0,0,0
32,47,0.275862068965517,0.241379310344828,14,12
32,48,0.206896551724138,0.0689655172413793,11,3
64,47,0.0819672131147541,0.0491803278688525,6,3
64,48,0.311475409836066,0.147540983606557,32,11
128,47,0.184,0.048,105,7
128,48,0.128,0.08,27,13
256,47,0.134387351778656,0.0592885375494071,123,17
256,48,0.177865612648221,0.0988142292490119,68,31
512,47,0.102161100196464,0.0746561886051081,78,45
512,48,0.176817288801572,0.113948919449902,316,90
1024,47,0.16258570029383,0.0744368266405485,388,126
1024,48,0.16258570029383,0.107737512242899,596,382
2048,47,0.173105134474328,0.0914425427872861,944,383
2048,48,0.158435207823961,0.0806845965770171,740,315
