"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,97,0,0,0,0
4,98,0,0,0,0
5,97,0,0,0,0
5,98,0,0,0,0
6,97,0,0,0,0
6,98,0.333333333333333,0.333333333333333,1,1
7,97,0,0,0,0
7,98,0,0,0,0
8,97,0,0.2,0,1
8,98,0.2,0.2,1,1
9,97,0,0,0,0
9,98,0,0.166666666666667,0,1
10,97,0,0,0,0
10,98,0,0,0,0
16,97,0.0769230769230769,0.0769230769230769,1,1
16,98,0,0,0,0
32,97,0.0344827586206897,0,1,0
32,98,0.137931034482759,0,6,0
64,97,0.0327868852459016,0.0491803278688525,2,3
64,98,0.163934426229508,0.163934426229508,15,13
128,97,0.168,0.08,38,14
128,98,0.352,0.16,145,31
256,97,0.0711462450592885,0.08300395256917,26,61
256,98,0.126482213438735,0.0790513833992095,65,34
512,97,0.135559921414538,0.0766208251473477,103,47
512,98,0.168958742632613,0.102161100196464,310,146
1024,97,0.171400587659158,0.0940254652301665,544,268
1024,98,0.152791380999021,0.0734573947110676,379,144
2048,97,0.162347188264059,0.0772616136919315,777,252
2048,98,0.161369193154034,0.0845965770171149,1115,419
