"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,87,0,0,0,0
4,88,0,0,0,0
5,87,0,0,0,0
5,88,0,0,0,0
6,87,0,0,0,0
6,88,0,0,0,0
7,87,0.5,0,3,0
7,88,0,0,0,0
8,87,0,0,0,0
8,88,0,0,0,0
9,87,0.166666666666667,0,1,0
9,88,0,0,0,0
10,87,0,0,0,0
10,88,0,0,0,0
16,87,0.153846153846154,0.0769230769230769,2,1
16,88,0,0,0,0
32,87,0,0,0,0
32,88,0.344827586206897,0.137931034482759,16,7
64,87,0.131147540983607,0.0655737704918033,13,4
64,88,0.180327868852459,0.131147540983607,18,11
128,87,0.208,0.088,44,14
128,88,0.208,0.08,44,14
256,87,0.1699604743083,0.102766798418972,68,33
256,88,0.213438735177866,0.0671936758893281,152,23
512,87,0.194499017681729,0.0864440078585462,251,64
512,88,0.141453831041257,0.0707269155206287,162,50
1024,87,0.161606268364349,0.105778648383937,495,265
1024,88,0.137120470127326,0.089128305582762,272,129
2048,87,0.180929095354523,0.112469437652812,999,554
2048,88,0.145232273838631,0.0816625916870416,713,276
