"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,11,0,0,0,0
4,12,0,0,0,0
5,11,0,0,0,0
5,12,0,0,0,0
6,11,0,0,0,0
6,12,0,0,0,0
7,11,0,0,0,0
7,12,0,0,0,0
8,11,0.2,0.2,1,1
8,12,0,0,0,0
9,11,0,0,0,0
9,12,0,0,0,0
10,11,0,0,0,0
10,12,0.142857142857143,0,1,0
16,11,0.0769230769230769,0,1,0
16,12,0.0769230769230769,0.0769230769230769,1,1
32,11,0,0,0,0
32,12,0.241379310344828,0.0344827586206897,13,1
64,11,0.0491803278688525,0.114754098360656,3,8
64,12,0.245901639344262,0.0655737704918033,25,4
128,11,0.144,0.12,60,57
128,12,0.072,0.048,12,8
256,11,0.130434782608696,0.0988142292490119,122,69
256,12,0.173913043478261,0.106719367588933,103,33
512,11,0.131630648330059,0.0609037328094303,160,37
512,12,0.176817288801572,0.0943025540275049,185,68
1024,11,0.155729676787463,0.0763956904995103,400,135
1024,12,0.127326150832517,0.0842311459353575,228,112
2048,11,0.144254278728606,0.0841075794621027,793,354
2048,12,0.1559902200489,0.087041564792176,775,338
