"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,57,0,0,0,0
4,58,0,0,0,0
5,57,0,0.5,0,1
5,58,0,0,0,0
6,57,0,0,0,0
6,58,0,0,0,0
7,57,0,0,0,0
7,58,0,0,0,0
8,57,0,0,0,0
8,58,0.4,0.2,3,1
9,57,0.166666666666667,0,1,0
9,58,0,0,0,0
10,57,0,0,0,0
10,58,0,0,0,0
16,57,0.153846153846154,0.153846153846154,2,3
16,58,0,0,0,0
32,57,0.172413793103448,0.0344827586206897,8,1
32,58,0.206896551724138,0.103448275862069,10,5
64,57,0.147540983606557,0.0983606557377049,15,7
64,58,0.163934426229508,0.0327868852459016,15,2
128,57,0.104,0.056,22,7
128,58,0.224,0.096,54,15
256,57,0.201581027667984,0.118577075098814,124,49
256,58,0.225296442687747,0.0909090909090909,157,37
512,57,0.165029469548134,0.0746561886051081,252,53
512,58,0.194499017681729,0.0648330058939096,458,47
1024,57,0.152791380999021,0.0969637610186092,348,231
1024,58,0.189030362389814,0.0861900097943193,694,215
2048,57,0.159902200488998,0.0831295843520782,921,274
2048,58,0.165770171149144,0.0581907090464548,941,140
