"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,25,0,0,0,0
4,26,0,0,0,0
5,25,0,0,0,0
5,26,0,0,0,0
6,25,0,0,0,0
6,26,0,0,0,0
7,25,0,0,0,0
7,26,0,0,0,0
8,25,0,0,0,0
8,26,0,0,0,0
9,25,0,0,0,0
9,26,0,0,0,0
10,25,0,0,0,0
10,26,0,0.142857142857143,0,1
16,25,0.230769230769231,0.230769230769231,4,4
16,26,0,0.0769230769230769,0,1
32,25,0.0344827586206897,0.137931034482759,1,5
32,26,0,0,0,0
64,25,0.278688524590164,0.0327868852459016,71,2
64,26,0.245901639344262,0.0655737704918033,25,5
128,25,0.152,0.064,30,11
128,26,0.216,0.128,45,22
256,25,0.185770750988142,0.110671936758893,74,37
256,26,0.150197628458498,0.0790513833992095,61,26
512,25,0.212180746561886,0.0923379174852652,302,63
512,26,0.165029469548134,0.0982318271119843,171,103
1024,25,0.168462291870715,0.0744368266405485,422,135
1024,26,0.142017629774731,0.0666013712047013,267,86
2048,25,0.165281173594132,0.101711491442543,920,561
2048,26,0.183374083129584,0.103178484107579,1079,435
