"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,33,0,0,0,0
4,34,0,0,0,0
5,33,0,0,0,0
5,34,0,0,0,0
6,33,0,0,0,0
6,34,0,0,0,0
7,33,0,0,0,0
7,34,0,0,0,0
8,33,0,0,0,0
8,34,0,0,0,0
9,33,0.166666666666667,0,1,0
9,34,0,0,0,0
10,33,0,0.142857142857143,0,1
10,34,0.142857142857143,0.142857142857143,1,1
16,33,0,0,0,0
16,34,0.0769230769230769,0.0769230769230769,1,1
32,33,0.172413793103448,0.0689655172413793,10,2
32,34,0.310344827586207,0.241379310344828,16,12
64,33,0.0491803278688525,0,5,0
64,34,0.0819672131147541,0.0655737704918033,7,4
128,33,0.2,0.072,45,13
128,34,0.2,0.08,82,12
256,33,0.142292490118577,0.0592885375494071,82,19
256,34,0.114624505928854,0.0790513833992095,43,25
512,33,0.147347740667976,0.0628683693516699,147,39
512,34,0.155206286836935,0.0667976424361493,187,41
1024,33,0.149853085210578,0.0852105778648384,318,157
1024,34,0.11949069539667,0.0734573947110676,303,191
2048,33,0.168215158924205,0.093398533007335,879,394
2048,34,0.147677261613692,0.0704156479217604,589,189
