"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,81,0,0,0,0
4,82,0,0,0,0
5,81,0.5,0.5,1,1
5,82,0,0,0,0
6,81,0.333333333333333,0,1,0
6,82,0,0,0,0
7,81,0,0,0,0
7,82,0,0,0,0
8,81,0,0,0,0
8,82,0,0,0,0
9,81,0,0,0,0
9,82,0,0,0,0
10,81,0,0,0,0
10,82,0.142857142857143,0,1,0
16,81,0.153846153846154,0.153846153846154,3,3
16,82,0,0,0,0
32,81,0.137931034482759,0.137931034482759,5,5
32,82,0.103448275862069,0.0344827586206897,4,1
64,81,0.213114754098361,0.0163934426229508,26,1
64,82,0.114754098360656,0.0491803278688525,10,3
128,81,0.192,0.096,44,19
128,82,0.104,0.056,18,8
256,81,0.1699604743083,0.122529644268775,99,77
256,82,0.142292490118577,0.0711462450592885,55,19
512,81,0.12770137524558,0.0432220039292731,168,24
512,82,0.147347740667976,0.106090373280943,232,88
1024,81,0.166503428011753,0.0861900097943193,518,166
1024,82,0.155729676787463,0.0950048971596474,346,142
2048,81,0.157457212713936,0.0792176039119804,820,279
2048,82,0.14718826405868,0.0777506112469438,812,263
