"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,71,0,0,0,0
4,72,0,0,0,0
5,71,0,0,0,0
5,72,0,0,0,0
6,71,0,0,0,0
6,72,0,0,0,0
7,71,0,0,0,0
7,72,0.25,0.25,1,1
8,71,0,0,0,0
8,72,0.2,0.2,1,1
9,71,0,0,0,0
9,72,0,0,0,0
10,71,0,0,0,0
10,72,0.142857142857143,0.142857142857143,1,1
16,71,0.153846153846154,0.153846153846154,2,2
16,72,0.230769230769231,0,5,0
32,71,0.0344827586206897,0.0344827586206897,1,1
32,72,0.0689655172413793,0.0689655172413793,2,2
64,71,0.131147540983607,0.0163934426229508,13,1
64,72,0.147540983606557,0.147540983606557,13,13
128,71,0.224,0.192,78,73
128,72,0.128,0.112,29,26
256,71,0.110671936758893,0.075098814229249,40,20
256,72,0.1699604743083,0.0711462450592885,169,28
512,71,0.198428290766208,0.117878192534381,255,118
512,72,0.117878192534381,0.0746561886051081,121,51
1024,71,0.110675808031342,0.089128305582762,199,126
1024,72,0.14103819784525,0.0803134182174339,291,121
2048,71,0.167726161369193,0.0831295843520782,1032,268
2048,72,0.145232273838631,0.0816625916870416,604,212
