"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,43,0,0,0,0
4,44,0,0,0,0
5,43,0,0,0,0
5,44,0.5,0.5,1,1
6,43,0.333333333333333,0,1,0
6,44,0,0,0,0
7,43,0,0,0,0
7,44,0,0,0,0
8,43,0,0,0,0
8,44,0,0,0,0
9,43,0,0,0,0
9,44,0,0,0,0
10,43,0,0,0,0
10,44,0.142857142857143,0.142857142857143,1,1
16,43,0.153846153846154,0.153846153846154,2,2
16,44,0.384615384615385,0.384615384615385,7,7
32,43,0.379310344827586,0.172413793103448,19,7
32,44,0.172413793103448,0.172413793103448,8,7
64,43,0.0983606557377049,0.0327868852459016,9,2
64,44,0.163934426229508,0.0819672131147541,15,6
128,43,0.08,0.056,13,7
128,44,0.168,0.064,35,9
256,43,0.217391304347826,0.0948616600790514,121,29
256,44,0.193675889328063,0.0513833992094862,125,19
512,43,0.149312377210216,0.0471512770137525,236,27
512,44,0.111984282907662,0.0569744597249509,84,32
1024,43,0.152791380999021,0.0744368266405485,503,105
1024,44,0.136141038197845,0.0783545543584721,287,111
2048,43,0.156968215158924,0.0982885085574572,1086,581
2048,44,0.189731051344743,0.0914425427872861,992,519
