"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,83,0,0,0,0
4,84,0,0,0,0
5,83,0,0,0,0
5,84,0,0,0,0
6,83,0,0,0,0
6,84,0,0,0,0
7,83,0,0,0,0
7,84,0,0,0,0
8,83,0,0,0,0
8,84,0,0,0,0
9,83,0,0,0,0
9,84,0,0,0,0
10,83,0,0.285714285714286,0,3
10,84,0,0,0,0
16,83,0.0769230769230769,0.0769230769230769,1,1
16,84,0,0,0,0
32,83,0.103448275862069,0,5,0
32,84,0.137931034482759,0.0689655172413793,6,2
64,83,0.147540983606557,0.0819672131147541,12,6
64,84,0.0655737704918033,0.0655737704918033,5,5
128,83,0.112,0.064,18,8
128,84,0.224,0.168,85,66
256,83,0.134387351778656,0.0671936758893281,56,19
256,84,0.173913043478261,0.102766798418972,166,101
512,83,0.141453831041257,0.0707269155206287,147,81
512,84,0.157170923379175,0.0726915520628684,136,54
1024,83,0.149853085210578,0.0646425073457395,296,90
1024,84,0.16356513222331,0.0920666013712047,371,211
2048,83,0.144254278728606,0.0757946210268949,689,229
2048,84,0.127139364303178,0.0694376528117359,487,223
