"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,93,0,0,0,0
4,94,0,0,0,0
5,93,0,0,0,0
5,94,0,0,0,0
6,93,0,0,0,0
6,94,0,0,0,0
7,93,0,0,0,0
7,94,0,0,0,0
8,93,0,0,0,0
8,94,0.6,0,5,0
9,93,0,0,0,0
9,94,0,0,0,0
10,93,0,0,0,0
10,94,0,0.142857142857143,0,1
16,93,0.0769230769230769,0,1,0
16,94,0.0769230769230769,0.0769230769230769,1,1
32,93,0.137931034482759,0.0344827586206897,7,1
32,94,0.0689655172413793,0.0689655172413793,2,2
64,93,0.180327868852459,0.114754098360656,19,10
64,94,0.19672131147541,0.0983606557377049,21,11
128,93,0.136,0.096,25,18
128,94,0.16,0.072,64,10
256,93,0.142292490118577,0.114624505928854,155,123
256,94,0.173913043478261,0.102766798418972,69,40
512,93,0.161100196463654,0.0726915520628684,216,50
512,94,0.157170923379175,0.0785854616895874,224,58
1024,93,0.142997061704212,0.0832517140058766,321,119
1024,94,0.190009794319295,0.0979431929480901,709,193
2048,93,0.158435207823961,0.0909535452322738,1070,467
2048,94,0.152078239608802,0.0757946210268949,789,206
