"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,89,0,0,0,0
4,90,0,0,0,0
5,89,0,0,0,0
5,90,0,0,0,0
6,89,0,0,0,0
6,90,0,0,0,0
7,89,0.25,0.25,1,1
7,90,0,0,0,0
8,89,0,0,0,0
8,90,0,0,0,0
9,89,0,0,0,0
9,90,0.166666666666667,0.166666666666667,1,1
10,89,0,0,0,0
10,90,0,0,0,0
16,89,0.0769230769230769,0,1,0
16,90,0,0,0,0
32,89,0.0689655172413793,0.103448275862069,2,4
32,90,0.275862068965517,0.275862068965517,18,18
64,89,0.147540983606557,0.0819672131147541,13,5
64,90,0.0491803278688525,0.0163934426229508,4,1
128,89,0.128,0.056,22,8
128,90,0.136,0.072,24,12
256,89,0.150197628458498,0.154150197628458,93,139
256,90,0.126482213438735,0.0434782608695652,75,13
512,89,0.172888015717092,0.0884086444007859,259,105
512,90,0.194499017681729,0.119842829076621,282,129
1024,89,0.178256611165524,0.107737512242899,524,230
1024,90,0.160626836434868,0.0901077375122429,380,126
2048,89,0.174572127139364,0.108068459657702,1195,549
2048,90,0.152078239608802,0.100733496332518,717,378
