"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,15,0,0,0,0
4,16,0,1,0,1
5,15,0,0,0,0
5,16,0,0,0,0
6,15,0.333333333333333,0.333333333333333,1,1
6,16,0,0.333333333333333,0,1
7,15,0,0,0,0
7,16,0,0,0,0
8,15,0,0,0,0
8,16,0,0,0,0
9,15,0.166666666666667,0.333333333333333,1,2
9,16,0,0.166666666666667,0,1
10,15,0.142857142857143,0.142857142857143,1,1
10,16,0,0,0,0
16,15,0.0769230769230769,0.0769230769230769,1,1
16,16,0.0769230769230769,0.0769230769230769,1,1
32,15,0.103448275862069,0.0344827586206897,4,1
32,16,0.0689655172413793,0.0689655172413793,2,2
64,15,0.19672131147541,0.0819672131147541,19,6
64,16,0.213114754098361,0.180327868852459,25,18
128,15,0.12,0.12,23,23
128,16,0.136,0.08,24,12
256,15,0.158102766798419,0.122529644268775,129,89
256,16,0.189723320158103,0.075098814229249,154,26
512,15,0.131630648330059,0.0746561886051081,102,50
512,16,0.202357563850688,0.0962671905697446,212,110
1024,15,0.158667972575906,0.089128305582762,432,166
1024,16,0.133202742409403,0.0959843290891283,282,127
2048,15,0.158924205378973,0.0948655256723716,770,316
2048,16,0.170660146699266,0.104156479217604,924,382
