"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,77,0,0,0,0
4,78,0,0,0,0
5,77,0,0,0,0
5,78,0,0,0,0
6,77,0,0.333333333333333,0,1
6,78,0,0,0,0
7,77,0,0,0,0
7,78,0.25,0.25,1,1
8,77,0,0,0,0
8,78,0,0,0,0
9,77,0.166666666666667,0.166666666666667,1,1
9,78,0,0,0,0
10,77,0,0.142857142857143,0,1
10,78,0,0,0,0
16,77,0.153846153846154,0,3,0
16,78,0.307692307692308,0.0769230769230769,7,1
32,77,0.0344827586206897,0.0344827586206897,1,1
32,78,0.0344827586206897,0.103448275862069,1,3
64,77,0.114754098360656,0.0983606557377049,8,7
64,78,0.0327868852459016,0.0163934426229508,2,1
128,77,0.2,0.16,123,77
128,78,0.144,0.096,22,15
256,77,0.162055335968379,0.102766798418972,160,96
256,78,0.189723320158103,0.0988142292490119,105,40
512,77,0.153241650294695,0.100196463654224,167,71
512,78,0.155206286836935,0.0884086444007859,198,93
1024,77,0.190009794319295,0.104799216454456,497,237
1024,78,0.129285014691479,0.0705190989226249,242,89
2048,77,0.169682151589242,0.0953545232273839,1160,388
2048,78,0.153545232273839,0.0894865525672372,617,278
