"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,85,0,0,0,0
4,86,0,0,0,0
5,85,0,0,0,0
5,86,0,0,0,0
6,85,0,0,0,0
6,86,0,0,0,0
7,85,0,0,0,0
7,86,0,0,0,0
8,85,0.2,0.2,1,1
8,86,0.4,0.2,3,1
9,85,0,0.166666666666667,0,1
9,86,0,0,0,0
10,85,0,0,0,0
10,86,0.142857142857143,0,1,0
16,85,0.538461538461538,0.538461538461538,15,15
16,86,0,0,0,0
32,85,0.0689655172413793,0.0689655172413793,2,2
32,86,0.103448275862069,0.103448275862069,5,5
64,85,0.262295081967213,0.114754098360656,25,9
64,86,0.0819672131147541,0.0819672131147541,5,5
128,85,0.16,0.088,34,14
128,86,0.248,0.048,87,6
256,85,0.177865612648221,0.0711462450592885,75,24
256,86,0.201581027667984,0.0671936758893281,94,22
512,85,0.18860510805501,0.0785854616895874,340,56
512,86,0.147347740667976,0.0903732809430255,217,60
1024,85,0.158667972575906,0.118511263467189,445,247
1024,86,0.155729676787463,0.0548481880509305,354,67
2048,85,0.1559902200489,0.0865525672371638,736,278
2048,86,0.163814180929095,0.0943765281173594,885,400
