"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,53,0,0,0,0
4,54,1,1,1,1
5,53,0,0,0,0
5,54,0,0,0,0
6,53,0,0,0,0
6,54,0.333333333333333,0.333333333333333,1,1
7,53,0,0,0,0
7,54,0,0,0,0
8,53,0,0,0,0
8,54,0.2,0.2,1,1
9,53,0.333333333333333,0,3,0
9,54,0.166666666666667,0.166666666666667,1,1
10,53,0.142857142857143,0.142857142857143,1,1
10,54,0.142857142857143,0.142857142857143,1,1
16,53,0,0,0,0
16,54,0.0769230769230769,0.153846153846154,1,2
32,53,0.0344827586206897,0,1,0
32,54,0.137931034482759,0.103448275862069,5,3
64,53,0.19672131147541,0.0655737704918033,20,4
64,54,0.180327868852459,0.0491803278688525,17,3
128,53,0.144,0.04,33,7
128,54,0.176,0.088,63,14
256,53,0.114624505928854,0.0434782608695652,47,15
256,54,0.134387351778656,0.0711462450592885,56,19
512,53,0.155206286836935,0.0589390962671906,170,37
512,54,0.168958742632613,0.115913555992141,229,103
1024,53,0.172380019588639,0.104799216454456,332,227
1024,54,0.131243878550441,0.0842311459353575,239,113
2048,53,0.153545232273839,0.0841075794621027,712,315
2048,54,0.162347188264059,0.0850855745721271,780,406
