"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,69,0,0,0,0
4,70,0,0,0,0
5,69,0,0,0,0
5,70,0,0,0,0
6,69,0,0.333333333333333,0,1
6,70,0,0,0,0
7,69,0.25,0.25,1,1
7,70,0,0,0,0
8,69,0,0,0,0
8,70,0,0,0,0
9,69,0,0,0,0
9,70,0,0,0,0
10,69,0,0,0,0
10,70,0.142857142857143,0.142857142857143,1,1
16,69,0.153846153846154,0.0769230769230769,2,1
16,70,0,0,0,0
32,69,0.172413793103448,0.137931034482759,8,7
32,70,0.103448275862069,0,3,0
64,69,0.180327868852459,0.0819672131147541,15,6
64,70,0.180327868852459,0.0491803278688525,18,3
128,69,0.104,0.056,19,10
128,70,0.184,0.08,39,15
256,69,0.173913043478261,0.0474308300395257,109,13
256,70,0.158102766798419,0.102766798418972,92,33
512,69,0.170923379174853,0.0648330058939096,198,37
512,70,0.18467583497053,0.121807465618861,293,206
1024,69,0.178256611165524,0.0812928501469148,404,111
1024,70,0.144955925563173,0.0812928501469148,456,211
2048,69,0.148655256723716,0.0836185819070905,825,298
2048,70,0.161369193154034,0.0762836185819071,829,308
