"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,9,0,0,0,0
4,10,0,0,0,0
5,9,0,0,0,0
5,10,0,0,0,0
6,9,0,0,0,0
6,10,0,0,0,0
7,9,0.25,0.25,1,1
7,10,0,0,0,0
8,9,0,0,0,0
8,10,0,0,0,0
9,9,0.166666666666667,0,1,0
9,10,0.166666666666667,0.166666666666667,1,1
10,9,0,0.142857142857143,0,1
10,10,0,0,0,0
16,9,0,0,0,0
16,10,0.230769230769231,0.0769230769230769,5,1
32,9,0.103448275862069,0.0344827586206897,4,1
32,10,0.137931034482759,0.0344827586206897,5,1
64,9,0.180327868852459,0.0655737704918033,18,4
64,10,0.131147540983607,0.0491803278688525,13,3
128,9,0.112,0.096,24,20
128,10,0.152,0.064,27,9
256,9,0.1699604743083,0.118577075098814,103,78
256,10,0.193675889328063,0.122529644268775,148,49
512,9,0.170923379174853,0.1237721021611,246,166
512,10,0.165029469548134,0.100196463654224,217,119
1024,9,0.153770812928501,0.0783545543584721,366,140
1024,10,0.144955925563173,0.0812928501469148,327,124
2048,9,0.163325183374083,0.0792176039119804,980,239
2048,10,0.19119804400978,0.115892420537897,1429,859
