"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,63,0,0,0,0
4,64,0,0,0,0
5,63,0,0,0,0
5,64,0,0,0,0
6,63,0,0,0,0
6,64,0,0.333333333333333,0,1
7,63,0,0,0,0
7,64,0,0,0,0
8,63,0,0,0,0
8,64,0,0,0,0
9,63,0,0,0,0
9,64,0,0,0,0
10,63,0.142857142857143,0,1,0
10,64,0,0,0,0
16,63,0.0769230769230769,0,1,0
16,64,0.153846153846154,0.153846153846154,2,2
32,63,0.103448275862069,0.0689655172413793,3,3
32,64,0,0.0344827586206897,0,1
64,63,0.0491803278688525,0.0655737704918033,5,4
64,64,0.131147540983607,0.114754098360656,10,9
128,63,0.168,0.08,36,12
128,64,0.088,0.048,18,8
256,63,0.201581027667984,0.0671936758893281,127,28
256,64,0.162055335968379,0.122529644268775,142,48
512,63,0.166994106090373,0.0903732809430255,252,99
512,64,0.196463654223969,0.0884086444007859,377,104
1024,63,0.170421155729677,0.0852105778648384,495,119
1024,64,0.166503428011753,0.0568070519098923,492,106
2048,63,0.167237163814181,0.0767726161369193,1003,323
2048,64,0.183374083129584,0.12958435207824,1341,953
