"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,79,0,0,0,0
4,80,0,0,0,0
5,79,0,0,0,0
5,80,0,0,0,0
6,79,0,0.333333333333333,0,1
6,80,0,0,0,0
7,79,0,0,0,0
7,80,0.25,0.25,1,1
8,79,0,0,0,0
8,80,0,0,0,0
9,79,0,0,0,0
9,80,0,0,0,0
10,79,0,0,0,0
10,80,0.142857142857143,0,1,0
16,79,0.307692307692308,0,6,0
16,80,0,0,0,0
32,79,0.103448275862069,0.103448275862069,4,4
32,80,0.206896551724138,0.206896551724138,11,9
64,79,0.0655737704918033,0.0491803278688525,4,3
64,80,0.163934426229508,0.0491803278688525,13,3
128,79,0.136,0.096,28,18
128,80,0.216,0.08,77,15
256,79,0.201581027667984,0.0909090909090909,184,33
256,80,0.177865612648221,0.0355731225296443,129,9
512,79,0.18467583497053,0.117878192534381,257,168
512,80,0.180746561886051,0.0785854616895874,233,53
1024,79,0.166503428011753,0.0822722820763957,394,181
1024,80,0.179236043095005,0.102840352595495,534,182
2048,79,0.171149144254279,0.0797066014669927,948,256
2048,80,0.167726161369193,0.0885085574572127,976,322
