"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,17,0,0,0,0
4,18,0,0,0,0
5,17,0,0,0,0
5,18,0,0,0,0
6,17,0.666666666666667,0.333333333333333,2,1
6,18,0,0,0,0
7,17,0,0,0,0
7,18,0.5,0,3,0
8,17,0,0,0,0
8,18,0.2,0.2,1,1
9,17,0,0,0,0
9,18,0.166666666666667,0.166666666666667,1,1
10,17,0,0,0,0
10,18,0.142857142857143,0.142857142857143,1,1
16,17,0.153846153846154,0.0769230769230769,2,1
16,18,0,0,0,0
32,17,0.0344827586206897,0.137931034482759,1,5
32,18,0.310344827586207,0.0344827586206897,18,1
64,17,0.0655737704918033,0.0655737704918033,4,4
64,18,0.229508196721311,0.131147540983607,27,11
128,17,0.128,0.04,26,6
128,18,0.184,0.08,44,13
256,17,0.130434782608696,0.0592885375494071,55,24
256,18,0.177865612648221,0.118577075098814,169,82
512,17,0.139489194499018,0.068762278978389,110,46
512,18,0.178781925343811,0.106090373280943,284,105
1024,17,0.123408423114594,0.0861900097943193,197,120
1024,18,0.167482859941234,0.102840352595495,558,313
2048,17,0.150611246943765,0.0816625916870416,843,329
2048,18,0.187286063569682,0.0973105134474328,1003,389
