"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,65,0,0,0,0
4,66,0,0,0,0
5,65,0,0,0,0
5,66,0,0,0,0
6,65,0,0,0,0
6,66,0,0,0,0
7,65,0,0,0,0
7,66,0,0,0,0
8,65,0,0,0,0
8,66,0,0,0,0
9,65,0.5,0.5,5,5
9,66,0,0,0,0
10,65,0.571428571428571,0.571428571428571,7,7
10,66,0,0.142857142857143,0,1
16,65,0.230769230769231,0,4,0
16,66,0.461538461538462,0.0769230769230769,12,1
32,65,0.0344827586206897,0.103448275862069,1,5
32,66,0.0344827586206897,0.0344827586206897,1,1
64,65,0.0491803278688525,0.0655737704918033,3,4
64,66,0.229508196721311,0.0327868852459016,26,2
128,65,0.12,0.08,22,13
128,66,0.112,0.048,20,7
256,65,0.138339920948617,0.118577075098814,86,43
256,66,0.0948616600790514,0.08300395256917,34,25
512,65,0.143418467583497,0.0923379174852652,153,100
512,66,0.12770137524558,0.068762278978389,137,41
1024,65,0.179236043095005,0.132223310479922,598,490
1024,66,0.13026444662096,0.0812928501469148,289,109
2048,65,0.140342298288509,0.0787286063569682,760,261
2048,66,0.170171149144254,0.106601466992665,1118,607
