"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,37,0,0,0,0
4,38,0,0,0,0
5,37,0,0,0,0
5,38,0.5,0.5,1,1
6,37,0.333333333333333,0.333333333333333,1,1
6,38,0,0,0,0
7,37,0,0,0,0
7,38,0,0,0,0
8,37,0,0,0,0
8,38,0,0,0,0
9,37,0,0,0,0
9,38,0,0,0,0
10,37,0,0,0,0
10,38,0.142857142857143,0.142857142857143,1,1
16,37,0,0,0,0
16,38,0,0,0,0
32,37,0.275862068965517,0.172413793103448,12,6
32,38,0.103448275862069,0.0689655172413793,4,3
64,37,0.114754098360656,0.19672131147541,8,18
64,38,0.295081967213115,0.229508196721311,33,22
128,37,0.072,0.056,11,8
128,38,0.12,0.056,26,8
256,37,0.138339920948617,0.0434782608695652,103,13
256,38,0.0948616600790514,0.0869565217391304,36,31
512,37,0.163064833005894,0.0962671905697446,171,75
512,38,0.149312377210216,0.0844793713163065,212,63
1024,37,0.158667972575906,0.069539666993144,454,138
1024,38,0.138099902056807,0.0852105778648384,331,197
2048,37,0.179462102689487,0.106601466992665,984,478
2048,38,0.155501222493888,0.0821515892420538,845,310
