"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,29,0,0,0,0
4,30,0,0,0,0
5,29,0.5,0,1,0
5,30,0,0,0,0
6,29,0,0,0,0
6,30,0,0,0,0
7,29,0,0,0,0
7,30,0,0,0,0
8,29,0.2,0.4,1,3
8,30,0,0,0,0
9,29,0.333333333333333,0.333333333333333,3,3
9,30,0,0,0,0
10,29,0.285714285714286,0.285714285714286,2,3
10,30,0.285714285714286,0.285714285714286,3,3
16,29,0.0769230769230769,0.153846153846154,1,3
16,30,0.0769230769230769,0,1,0
32,29,0.137931034482759,0.103448275862069,4,3
32,30,0.0689655172413793,0.0689655172413793,2,2
64,29,0.0983606557377049,0.0983606557377049,8,8
64,30,0.0983606557377049,0.0327868852459016,8,2
128,29,0.104,0.04,20,5
128,30,0.096,0.064,18,9
256,29,0.16600790513834,0.106719367588933,99,45
256,30,0.075098814229249,0.0553359683794466,29,17
512,29,0.143418467583497,0.0707269155206287,110,46
512,30,0.135559921414538,0.0805500982318271,110,54
1024,29,0.166503428011753,0.0832517140058766,426,150
1024,30,0.194906953966699,0.112634671890304,498,231
2048,29,0.175061124694377,0.0816625916870416,831,253
2048,30,0.154034229828851,0.0938875305623472,706,393
