"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,55,0,0,0,0
4,56,0,0,0,0
5,55,0,0,0,0
5,56,0,0,0,0
6,55,0,0.333333333333333,0,1
6,56,0,0,0,0
7,55,0,0,0,0
7,56,0,0,0,0
8,55,0.2,0.2,1,1
8,56,0,0,0,0
9,55,0,0.166666666666667,0,1
9,56,0,0,0,0
10,55,0.142857142857143,0,1,0
10,56,0.142857142857143,0.142857142857143,1,1
16,55,0.153846153846154,0.0769230769230769,3,1
16,56,0,0,0,0
32,55,0.241379310344828,0,13,0
32,56,0.103448275862069,0.172413793103448,4,7
64,55,0.229508196721311,0.213114754098361,53,50
64,56,0.163934426229508,0.0819672131147541,11,5
128,55,0.144,0.056,33,10
128,56,0.12,0.064,26,9
256,55,0.130434782608696,0.0553359683794466,52,18
256,56,0.276679841897233,0.181818181818182,218,124
512,55,0.200392927308448,0.0609037328094303,344,34
512,56,0.18860510805501,0.0628683693516699,349,41
1024,55,0.146914789422135,0.0734573947110676,336,130
1024,56,0.152791380999021,0.0763956904995103,266,140
2048,55,0.166259168704156,0.0914425427872861,853,404
2048,56,0.155501222493888,0.082640586797066,681,266
