"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,75,0,0,0,0
4,76,0,0,0,0
5,75,0,0,0,0
5,76,0,0,0,0
6,75,0,0,0,0
6,76,0,0,0,0
7,75,0.25,0.25,1,1
7,76,0,0,0,0
8,75,0.4,0,3,0
8,76,0,0,0,0
9,75,0.166666666666667,0.333333333333333,1,2
9,76,0,0,0,0
10,75,0.142857142857143,0.142857142857143,1,1
10,76,0.571428571428571,0,7,0
16,75,0.153846153846154,0,2,0
16,76,0.153846153846154,0,2,0
32,75,0.0344827586206897,0.103448275862069,1,5
32,76,0.275862068965517,0.0344827586206897,14,1
64,75,0.295081967213115,0.147540983606557,30,15
64,76,0.163934426229508,0.114754098360656,22,13
128,75,0.112,0.064,20,10
128,76,0.232,0.072,123,10
256,75,0.181818181818182,0.114624505928854,114,53
256,76,0.217391304347826,0.075098814229249,209,24
512,75,0.178781925343811,0.0884086444007859,151,56
512,76,0.159135559921415,0.104125736738703,240,112
1024,75,0.201762977473066,0.101860920666014,657,250
1024,76,0.155729676787463,0.0754162585700294,434,140
2048,75,0.169682151589242,0.105134474327628,880,541
2048,76,0.1559902200489,0.0743276283618582,872,217
