"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,39,0,0,0,0
4,40,0,0,0,0
5,39,0,0,0,0
5,40,0.5,0.5,1,1
6,39,0,0,0,0
6,40,0,0,0,0
7,39,0,0,0,0
7,40,0,0,0,0
8,39,0,0,0,0
8,40,0,0,0,0
9,39,0,0,0,0
9,40,0.166666666666667,0.166666666666667,1,1
10,39,0,0.142857142857143,0,1
10,40,0,0,0,0
16,39,0.153846153846154,0.0769230769230769,2,1
16,40,0,0,0,0
32,39,0.0344827586206897,0.0689655172413793,1,2
32,40,0,0,0,0
64,39,0.131147540983607,0.0655737704918033,11,4
64,40,0.19672131147541,0.262295081967213,22,67
128,39,0.056,0.056,7,8
128,40,0.184,0.072,38,11
256,39,0.0988142292490119,0.0671936758893281,33,17
256,40,0.1699604743083,0.0711462450592885,68,24
512,39,0.165029469548134,0.0982318271119843,158,61
512,40,0.157170923379175,0.0530451866404715,159,30
1024,39,0.20666013712047,0.0832517140058766,710,190
1024,40,0.144955925563173,0.0617042115572968,295,87
2048,39,0.160880195599022,0.0718826405867971,769,192
2048,40,0.168215158924205,0.0831295843520782,1189,344
