"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,49,0,0,0,0
4,50,1,1,1,1
5,49,0,0,0,0
5,50,0,0.5,0,1
6,49,0,0,0,0
6,50,0,0,0,0
7,49,0,0,0,0
7,50,0.5,0.5,3,3
8,49,0,0,0,0
8,50,0.2,0.2,1,1
9,49,0,0,0,0
9,50,0.166666666666667,0.333333333333333,1,3
10,49,0,0,0,0
10,50,0,0,0,0
16,49,0.230769230769231,0.0769230769230769,5,1
16,50,0.0769230769230769,0.0769230769230769,1,1
32,49,0.0689655172413793,0.0689655172413793,2,2
32,50,0.172413793103448,0.206896551724138,7,7
64,49,0.0983606557377049,0.0327868852459016,9,2
64,50,0.229508196721311,0.114754098360656,28,8
128,49,0.08,0.072,13,13
128,50,0.112,0.048,22,7
256,49,0.114624505928854,0.0948616600790514,39,37
256,50,0.106719367588933,0.0790513833992095,38,24
512,49,0.106090373280943,0.0667976424361493,88,50
512,50,0.102161100196464,0.0569744597249509,73,33
1024,49,0.175318315377081,0.112634671890304,464,263
1024,50,0.154750244857982,0.098922624877571,413,216
2048,49,0.146699266503667,0.0929095354523227,689,375
2048,50,0.164303178484108,0.0938875305623472,849,495
