"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,95,0,0,0,0
4,96,0,0,0,0
5,95,0,0,0,0
5,96,0.5,0.5,1,1
6,95,0.333333333333333,0.333333333333333,1,1
6,96,0.333333333333333,0.333333333333333,1,1
7,95,0,0,0,0
7,96,0,0,0,0
8,95,0,0,0,0
8,96,0.2,0.2,1,1
9,95,0,0,0,0
9,96,0,0,0,0
10,95,0.428571428571429,0,5,0
10,96,0,0,0,0
16,95,0,0,0,0
16,96,0,0.0769230769230769,0,1
32,95,0.0344827586206897,0.0689655172413793,1,2
32,96,0.310344827586207,0.0689655172413793,15,2
64,95,0.0327868852459016,0.0491803278688525,2,3
64,96,0.147540983606557,0.0327868852459016,13,2
128,95,0.08,0.064,15,10
128,96,0.208,0.096,75,18
256,95,0.118577075098814,0.0671936758893281,41,22
256,96,0.0632411067193676,0.0632411067193676,24,21
512,95,0.1237721021611,0.0785854616895874,162,89
512,96,0.151277013752456,0.0569744597249509,204,33
1024,95,0.164544564152791,0.0734573947110676,347,91
1024,96,0.145935357492654,0.098922624877571,517,260
2048,95,0.154034229828851,0.0948655256723716,719,343
2048,96,0.14278728606357,0.0904645476772616,551,295
