"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,45,0,0,0,0
4,46,0,0,0,0
5,45,0,0,0,0
5,46,0,0,0,0
6,45,0,0,0,0
6,46,0.333333333333333,0,1,0
7,45,0,0,0,0
7,46,0.25,0,1,0
8,45,0,0,0,0
8,46,0,0,0,0
9,45,0.333333333333333,0.5,2,3
9,46,0.333333333333333,0.166666666666667,3,1
10,45,0.142857142857143,0.285714285714286,1,2
10,46,0.142857142857143,0,1,0
16,45,0,0,0,0
16,46,0.153846153846154,0.0769230769230769,2,1
32,45,0,0.0344827586206897,0,1
32,46,0.0689655172413793,0.0689655172413793,2,2
64,45,0.0327868852459016,0.0491803278688525,2,4
64,46,0.0655737704918033,0.0491803278688525,5,3
128,45,0.128,0.032,28,4
128,46,0.192,0.08,42,11
256,45,0.205533596837945,0.0988142292490119,132,37
256,46,0.162055335968379,0.0711462450592885,60,20
512,45,0.141453831041257,0.0864440078585462,239,98
512,46,0.163064833005894,0.0609037328094303,253,39
1024,45,0.147894221351616,0.0852105778648384,323,131
1024,46,0.170421155729677,0.0842311459353575,425,185
2048,45,0.112469437652812,0.0831295843520782,380,245
2048,46,0.1559902200489,0.0806845965770171,1074,334
