"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,91,0,0,0,0
4,92,0,0,0,0
5,91,0,0,0,0
5,92,0,0,0,0
6,91,0,0,0,0
6,92,0,0,0,0
7,91,0.25,0.25,1,1
7,92,0,0,0,0
8,91,0,0,0,0
8,92,0.6,0.6,5,5
9,91,0,0,0,0
9,92,0.166666666666667,0,1,0
10,91,0,0,0,0
10,92,0.142857142857143,0,1,0
16,91,0.0769230769230769,0.0769230769230769,1,1
16,92,0.153846153846154,0,3,0
32,91,0.0344827586206897,0.0689655172413793,1,2
32,92,0.310344827586207,0.103448275862069,13,4
64,91,0.114754098360656,0.0655737704918033,9,5
64,92,0.213114754098361,0.0983606557377049,23,11
128,91,0.128,0.072,23,11
128,92,0.248,0.104,110,20
256,91,0.201581027667984,0.142292490118577,130,101
256,92,0.221343873517787,0.130434782608696,243,141
512,91,0.108055009823183,0.0805500982318271,122,95
512,92,0.159135559921415,0.0825147347740668,225,57
1024,91,0.159647404505387,0.0812928501469148,311,142
1024,92,0.173359451518119,0.098922624877571,502,204
2048,91,0.12518337408313,0.0816625916870416,447,281
2048,92,0.174083129584352,0.082640586797066,927,313
