"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,59,0,0,0,0
4,60,0,0,0,0
5,59,0,0,0,0
5,60,0,0,0,0
6,59,0,0,0,0
6,60,0.333333333333333,0.333333333333333,1,1
7,59,0.25,0.25,1,1
7,60,0,0,0,0
8,59,0,0,0,0
8,60,0,0,0,0
9,59,0,0,0,0
9,60,0,0,0,0
10,59,0,0,0,0
10,60,0.142857142857143,0.142857142857143,1,1
16,59,0,0.0769230769230769,0,1
16,60,0.0769230769230769,0,1,0
32,59,0.172413793103448,0.103448275862069,6,3
32,60,0.137931034482759,0,7,0
64,59,0.0163934426229508,0.0163934426229508,1,1
64,60,0.0491803278688525,0.131147540983607,4,16
128,59,0.208,0.112,75,18
128,60,0.032,0.04,4,5
256,59,0.114624505928854,0.0790513833992095,45,26
256,60,0.0790513833992095,0.0474308300395257,31,15
512,59,0.131630648330059,0.0766208251473477,104,47
512,60,0.194499017681729,0.0982318271119843,264,94
1024,59,0.153770812928501,0.0852105778648384,315,115
1024,60,0.150832517140059,0.069539666993144,297,105
2048,59,0.140342298288509,0.0762836185819071,683,251
2048,60,0.131540342298289,0.0792176039119804,500,200
