"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,23,0,0,0,0
4,24,0,0,0,0
5,23,0,0,0,0
5,24,0,0,0,0
6,23,0,0,0,0
6,24,0,0,0,0
7,23,0.5,0.5,3,3
7,24,0,0,0,0
8,23,0,0,0,0
8,24,0,0.2,0,1
9,23,0.333333333333333,0.166666666666667,3,1
9,24,0,0,0,0
10,23,0.142857142857143,0,1,0
10,24,0.142857142857143,0.142857142857143,1,1
16,23,0,0,0,0
16,24,0.230769230769231,0.230769230769231,3,3
32,23,0.0689655172413793,0.0344827586206897,3,1
32,24,0.137931034482759,0.103448275862069,4,3
64,23,0.0491803278688525,0.0655737704918033,3,4
64,24,0.19672131147541,0.0819672131147541,21,7
128,23,0.112,0.056,22,7
128,24,0.128,0.088,25,16
256,23,0.16600790513834,0.114624505928854,74,36
256,24,0.241106719367589,0.102766798418972,219,31
512,23,0.141453831041257,0.1237721021611,181,151
512,24,0.151277013752456,0.12573673870334,186,165
1024,23,0.178256611165524,0.079333986287953,423,98
1024,24,0.15181194906954,0.0666013712047013,416,88
2048,23,0.160880195599022,0.0801955990220049,711,243
2048,24,0.153056234718826,0.0801955990220049,705,286
