"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,5,0,0,0,0
4,6,0,0,0,0
5,5,0,0,0,0
5,6,0,0,0,0
6,5,0,0,0,0
6,6,0,0,0,0
7,5,0,0,0,0
7,6,0,0,0,0
8,5,0,0,0,0
8,6,0.2,0,1,0
9,5,0,0,0,0
9,6,0.666666666666667,0,7,0
10,5,0,0,0,0
10,6,0,0,0,0
16,5,0.307692307692308,0.153846153846154,5,2
16,6,0,0,0,0
32,5,0.172413793103448,0.0689655172413793,8,3
32,6,0.103448275862069,0,3,0
64,5,0.278688524590164,0.278688524590164,32,28
64,6,0.0163934426229508,0.0163934426229508,1,1
128,5,0.24,0.056,53,10
128,6,0.08,0.032,14,4
256,5,0.0948616600790514,0.0671936758893281,36,17
256,6,0.118577075098814,0.0474308300395257,49,15
512,5,0.113948919449902,0.0726915520628684,86,43
512,6,0.149312377210216,0.0746561886051081,123,49
1024,5,0.145935357492654,0.0959843290891283,365,141
1024,6,0.124387855044074,0.0763956904995103,247,110
2048,5,0.144743276283619,0.0914425427872861,794,423
2048,6,0.169682151589242,0.0772616136919315,1005,277
