"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,13,0,0,0,0
4,14,0,0,0,0
5,13,0,0,0,0
5,14,0,0,0,0
6,13,0,0,0,0
6,14,0,0,0,0
7,13,0,0,0,0
7,14,0,0,0,0
8,13,0,0,0,0
8,14,0,0,0,0
9,13,0,0,0,0
9,14,0,0,0,0
10,13,0,0,0,0
10,14,0,0,0,0
16,13,0,0,0,0
16,14,0,0,0,0
32,13,0.0344827586206897,0.0344827586206897,1,1
32,14,0.241379310344828,0.0689655172413793,10,2
64,13,0.0983606557377049,0.0983606557377049,8,8
64,14,0.245901639344262,0.0327868852459016,26,2
128,13,0.16,0.072,30,11
128,14,0.104,0.088,17,15
256,13,0.126482213438735,0.0671936758893281,99,25
256,14,0.110671936758893,0.075098814229249,47,27
512,13,0.194499017681729,0.117878192534381,265,85
512,14,0.121807465618861,0.0609037328094303,154,36
1024,13,0.169441723800196,0.0969637610186092,606,237
1024,14,0.159647404505387,0.0871694417238002,502,196
2048,13,0.16919315403423,0.101222493887531,857,375
2048,14,0.167237163814181,0.103178484107579,1019,631
