"length","seed","rf_ptree","rf_ltree","nni_ptree","nni_ltree"
4,21,0,0,0,0
4,22,0,0,0,0
5,21,0.5,0,1,0
5,22,0,0,0,0
6,21,0.333333333333333,0.333333333333333,1,1
6,22,0,0,0,0
7,21,0,0.25,0,1
7,22,0,0,0,0
8,21,0,0,0,0
8,22,0,0,0,0
9,21,0,0,0,0
9,22,0.333333333333333,0,3,0
10,21,0.285714285714286,0.285714285714286,3,3
10,22,0,0,0,0
16,21,0,0,0,0
16,22,0.230769230769231,0,5,0
32,21,0.482758620689655,0.310344827586207,29,18
32,22,0.0344827586206897,0,1,0
64,21,0.229508196721311,0.0983606557377049,56,8
64,22,0.0655737704918033,0.0819672131147541,4,6
128,21,0.12,0.04,22,5
128,22,0.112,0.056,19,7
256,21,0.142292490118577,0.075098814229249,52,25
256,22,0.102766798418972,0.0592885375494071,40,17
512,21,0.157170923379175,0.0766208251473477,201,49
512,22,0.135559921414538,0.0726915520628684,111,47
1024,21,0.167482859941234,0.0881488736532811,518,246
1024,22,0.15181194906954,0.0803134182174339,469,151
2048,21,0.136430317848411,0.0748166259168704,779,207
2048,22,0.159902200488998,0.0987775061124694,847,358
